status,session,expected_task,present_tasks,rounds_in_last_task,reason
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/AUTHORITY_DIRECTIVE/startup_consulting_20250914_095035_category_AUTHORITY_DIRECTIVE_seed390185437_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/AUTHORITY_DIRECTIVE/startup_consulting_20250914_102136_category_AUTHORITY_DIRECTIVE_seed960523766_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/AUTHORITY_DIRECTIVE/startup_consulting_20250914_104444_category_AUTHORITY_DIRECTIVE_seed1524523844_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/AUTHORITY_DIRECTIVE/startup_consulting_20250914_112141_category_AUTHORITY_DIRECTIVE_seed778347515_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/AUTHORITY_DIRECTIVE/startup_consulting_20250914_114502_category_AUTHORITY_DIRECTIVE_seed2603264937_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/COMPETITIVE_INTERACTION/startup_consulting_20250914_095029_category_COMPETITIVE_INTERACTION_seed390185437_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/COMPETITIVE_INTERACTION/startup_consulting_20250914_103815_category_COMPETITIVE_INTERACTION_seed960523766_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/COMPETITIVE_INTERACTION/startup_consulting_20250914_110437_category_COMPETITIVE_INTERACTION_seed1524523844_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/COMPETITIVE_INTERACTION/startup_consulting_20250914_115317_category_COMPETITIVE_INTERACTION_seed778347515_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/category/COMPETITIVE_INTERACTION/startup_consulting_20250914_121511_category_COMPETITIVE_INTERACTION_seed2603264937_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
